지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m )
108,서울,2024-01-03 07:00,2.2,,,9,.8,,270,,78,,5.6,-1.2,,,10,6,ScAs,8
108,서울,2024-01-03 08:00,2.3,,,9,1.5,,270,,80,,5.8,-.8,,,10,9,ScAs,8
108,서울,2024-01-03 09:00,2.1,,.1,,2,,270,,85,,6.1,-.1,,,10,7,ScAs,9
108,서울,2024-01-03 10:00,1.8,,,9,1,,250,,90,,6.2,.3,,,10,8,ScAs,7
108,서울,2024-01-03 11:00,2.4,,,9,1.6,,180,,89,,6.4,.7,,,10,8,ScAs,8
108,서울,2024-01-03 12:00,3,,.5,,1.4,,180,,89,,6.7,1.3,,,10,7,ScAs,9
108,서울,2024-01-03 13:00,3.8,,,9,1,,290,,84,,6.7,1.3,,,10,8,ScAs,7
108,서울,2024-01-03 14:00,3.4,,,9,2.8,,320,,85,,6.6,1.1,,,10,8,ScAs,7
108,서울,2024-01-03 15:00,3.2,,0,,2.2,,360,,83,,6.3,.5,,,9,5,ScAs,10
108,서울,2024-01-03 16:00,3.7,,,9,2.5,,320,,75,,6,-.3,,,8,8,Sc,9
108,서울,2024-01-03 17:00,3,,,9,2.7,,320,,77,,5.8,-.6,,,0,0,,
108,서울,2024-01-03 18:00,2.3,,,9,2.5,,270,,82,,5.9,-.4,,,1,1,Sc,10
108,서울,2024-01-03 19:00,1.7,,,9,1,,250,,82,,5.7,-1,,,0,0,,
108,서울,2024-01-03 20:00,1.3,,,9,3,,270,,78,,5.2,-2.1,,,0,0,,
108,서울,2024-01-03 21:00,.6,,,9,2.1,,270,,73,,4.7,-3.6,,,0,0,,
108,서울,2024-01-03 22:00,0,,,9,2.6,,340,,74,,4.5,-4,,,0,0,,
108,서울,2024-01-03 23:00,-.5,,,9,1.5,,270,,75,,4.4,-4.3,,,0,0,,
108,서울,2024-01-04 00:00,-1.1,,,9,.8,,270,,78,,4.4,-4.4,,,0,0,,
108,서울,2024-01-04 01:00,-1.5,,,,.8,,270,,79,,4.3,-4.6,,,0,0,,
108,서울,2024-01-04 02:00,-1.9,,,,.9,,230,,81,,4.3,-4.7,,,0,0,,
108,서울,2024-01-04 03:00,-2.2,,,,.9,,270,,80,,4.2,-5.1,,,0,0,,
108,서울,2024-01-04 04:00,-2.5,,,,0,,0,,82,,4.2,-5.1,,,0,0,,
108,서울,2024-01-04 05:00,-2.7,,,,1.7,,20,,79,,4,-5.8,,,0,0,,
108,서울,2024-01-04 06:00,-3.1,,,,2.1,,50,,82,,4,-5.7,,,0,0,,
108,서울,2024-01-04 07:00,-3.2,,,,2.2,,50,,87,,4.2,-5,,,0,0,,
108,서울,2024-01-04 08:00,-2.8,,,,1.5,,50,,87,,4.3,-4.6,,,8,8,Sc,9
108,서울,2024-01-04 09:00,-1.8,,,,2.6,,50,,84,,4.5,-4.1,,,8,8,Sc,9
108,서울,2024-01-04 10:00,-.7,,,,2.9,,50,,83,,4.8,-3.2,,,8,8,Sc,9
108,서울,2024-01-04 11:00,.4,,,,3.1,,50,,80,,5,-2.6,,,8,8,Sc,9
108,서울,2024-01-04 12:00,1.4,,,,3,,50,,73,,4.9,-2.9,,,8,8,Sc,10
108,서울,2024-01-04 13:00,2.5,,,,2.4,,50,,69,,5,-2.6,,,8,8,Sc,9
108,서울,2024-01-04 14:00,3.7,,,,1.8,,50,,66,,5.3,-2,,,7,7,Sc,9
108,서울,2024-01-04 15:00,4,,,,1.5,,20,,65,,5.3,-1.9,,,8,8,Sc,9
108,서울,2024-01-04 16:00,4.7,,,,2.4,,180,,65,,5.6,-1.3,,,7,7,Sc,9
108,서울,2024-01-04 17:00,4.4,,,,2.3,,200,,65,,5.4,-1.6,,,8,8,Sc,10
108,서울,2024-01-04 18:00,4.5,,,,2.8,,200,,67,,5.6,-1.1,,,8,8,Sc,12
108,서울,2024-01-04 19:00,4.2,,,,1.8,,140,,70,,5.8,-.7,,,6,6,,11
108,서울,2024-01-04 20:00,4.2,,,,1.4,,160,,69,,5.7,-.9,,,3,3,,9
108,서울,2024-01-04 21:00,4.4,,,,2,,160,,70,,5.8,-.6,,,8,8,Sc,11
108,서울,2024-01-04 22:00,4.5,,,,2.2,,140,,71,,6,-.3,,,0,0,,
108,서울,2024-01-04 23:00,4.5,,,,1.8,,140,,71,,6,-.3,,,8,8,,7
108,서울,2024-01-05 00:00,4.1,,,,2.4,,20,,73,,6,-.3,,,9,9,,
108,서울,2024-01-05 01:00,3.7,,,,1.5,,20,,75,,6,-.3,,,0,0,,
108,서울,2024-01-05 02:00,3.1,,,,1.6,,20,,79,,6.1,-.1,,,5,5,,8
108,서울,2024-01-05 03:00,2.8,,,,1.4,,50,,80,,6,-.3,,,8,8,Sc,11
108,서울,2024-01-05 04:00,3,,,,2,,20,,82,,6.2,.2,,,9,9,Sc,8
108,서울,2024-01-05 05:00,3.4,,,,1,,90,,83,,6.4,.7,,,9,9,Sc,10
108,서울,2024-01-05 06:00,5,,0,,2.1,,230,,87,,7.6,3,,,9,9,Sc,8
108,서울,2024-01-05 07:00,5.4,,,9,2.1,,230,,87,,7.8,3.4,,,9,9,Sc,10
108,서울,2024-01-05 08:00,5,,,9,1.3,,230,,88,,7.6,3.1,,,9,9,Sc,10
108,서울,2024-01-05 09:00,5.1,,,9,.8,,250,,88,,7.7,3.2,,,8,8,Sc,9
108,서울,2024-01-05 10:00,5.8,,,9,1.3,,230,,87,,8,3.7,,,1,1,Sc,9
108,서울,2024-01-05 11:00,7.4,,,9,3.4,,230,,77,,7.9,3.6,,,7,7,Sc,7
108,서울,2024-01-05 12:00,8.1,,,9,2.8,,250,,68,,7.3,2.5,,,6,6,Sc,6
108,서울,2024-01-05 13:00,8.3,,,9,4.4,,250,,64,,7,1.8,,,4,4,Sc,8
108,서울,2024-01-05 14:00,8.9,,,9,4.4,,200,,60,,6.8,1.5,,,2,2,Sc,10
108,서울,2024-01-05 15:00,9,,,9,3.2,,270,,60,,6.9,1.6,,,2,2,Sc,10
108,서울,2024-01-05 16:00,7.9,,,9,3.2,,270,,63,,6.7,1.2,,,1,1,Sc,10
108,서울,2024-01-05 17:00,6.6,,,9,3.1,,270,,63,,6.1,0,,,0,0,,
108,서울,2024-01-05 18:00,5.4,,,9,2.2,,270,,71,,6.3,.5,,,0,0,,
108,서울,2024-01-05 19:00,4.3,,,9,3.1,,250,,77,,6.4,.6,,,0,0,,
108,서울,2024-01-05 20:00,3.6,,,9,2,,270,,82,,6.5,.8,,,0,0,,
108,서울,2024-01-05 21:00,3.1,,,9,2.3,,270,,83,,6.3,.4,,,0,0,,
108,서울,2024-01-05 22:00,2.7,,,9,2.2,,250,,82,,6.1,0,,,0,0,,
108,서울,2024-01-05 23:00,2,,,9,1.7,,270,,82,,5.8,-.7,,,0,0,,
108,서울,2024-01-06 00:00,1.4,,,9,2.4,,270,,80,,5.4,-1.6,,,0,0,,
108,서울,2024-01-06 01:00,.7,,,,1.8,,270,,79,,5.1,-2.5,,,0,0,,
108,서울,2024-01-06 02:00,-.1,,,,2.1,,270,,79,,4.8,-3.3,,,0,0,,
108,서울,2024-01-06 03:00,-.7,,,,2.2,,250,,77,,4.5,-4.2,,,0,0,,
108,서울,2024-01-06 04:00,-1.2,,,,2,,250,,70,,3.9,-5.9,,,0,0,,
108,서울,2024-01-06 05:00,-1.5,,,,2.4,,270,,69,,3.8,-6.4,,,0,0,,
108,서울,2024-01-06 06:00,-2,,,,1.5,,290,,68,,3.6,-7.1,,,0,0,,
108,서울,2024-01-06 07:00,-2,,,,1.8,,290,,65,,3.4,-7.7,,,0,0,,
108,서울,2024-01-06 08:00,-2.5,,,,1.5,,290,,66,,3.4,-7.9,,,0,0,,
108,서울,2024-01-06 09:00,-2,,,,1.9,,290,,63,,3.3,-8.1,,,0,0,,
108,서울,2024-01-06 10:00,-.4,,,,2.9,,270,,55,,3.3,-8.3,,,0,0,,
108,서울,2024-01-06 11:00,1.1,,,,1.8,,270,,49,,3.2,-8.4,,,0,0,,
108,서울,2024-01-06 12:00,2.9,,,,2.3,,250,,44,,3.3,-8.1,,,0,0,,
108,서울,2024-01-06 13:00,3.4,,,,2.8,,290,,44,,3.4,-7.7,,,0,0,,
108,서울,2024-01-06 14:00,4,,,,3.3,,290,,39,,3.2,-8.7,,,0,0,,
108,서울,2024-01-06 15:00,4.9,,,,3.2,,270,,36,,3.1,-8.9,,,0,0,,
108,서울,2024-01-06 16:00,4.9,,,,2.1,,270,,40,,3.5,-7.5,,,0,0,,
108,서울,2024-01-06 17:00,3.7,,,,2.2,,250,,42,,3.3,-8,,,3,3,Sc,18
108,서울,2024-01-06 18:00,2.9,,0,,1.6,,270,,46,,3.5,-7.6,,,8,8,Sc,10
108,서울,2024-01-06 19:00,1.4,,,9,2.6,,290,,74,,5,-2.7,,,10,8,StNs,7
108,서울,2024-01-06 20:00,.5,,,9,.8,,360,,88,,5.6,-1.2,2.3,,10,8,StNs,5
108,서울,2024-01-06 21:00,.4,,2.4,,1.6,,230,,91,,5.7,-.9,6,6,9,9,Sc,7
108,서울,2024-01-06 22:00,.4,,,9,1.6,,270,,90,,5.7,-1,5.9,,7,7,,7
108,서울,2024-01-06 23:00,-.1,,,9,1.2,,340,,89,,5.4,-1.7,5.7,,6,6,,3
108,서울,2024-01-07 00:00,-.9,,,9,2.5,,270,,86,,4.9,-2.9,5.6,,1,1,,
108,서울,2024-01-07 01:00,-2.1,,,,2.6,,270,,80,,4.2,-5,5.5,,0,0,,
108,서울,2024-01-07 02:00,-2.7,,,,1.1,,290,,79,,4,-5.8,5.4,,0,0,,
108,서울,2024-01-07 03:00,-3.2,,,,.1,,0,,80,,3.9,-6.1,5.3,,0,0,,
108,서울,2024-01-07 04:00,-3.3,,,,1.9,,270,,81,,3.9,-6.1,5,,1,1,Sc,10
108,서울,2024-01-07 05:00,-3.4,,,,1.2,,270,,81,,3.9,-6.1,4.8,,1,1,Sc,10
108,서울,2024-01-07 06:00,-3.6,,,,3,,270,,79,,3.7,-6.7,4.6,,1,1,Sc,10
108,서울,2024-01-07 07:00,-4.4,,,,1.5,,290,,71,,3.1,-8.8,4.5,,0,0,,
108,서울,2024-01-07 08:00,-4.9,,,,1.7,,270,,66,,2.8,-10.2,4,,0,0,,
108,서울,2024-01-07 09:00,-4.6,,,,3.1,,250,,57,,2.5,-11.8,4,,0,0,,
108,서울,2024-01-07 10:00,-3.7,,,,4.6,,270,,50,,2.3,-12.6,3.9,,0,0,,
108,서울,2024-01-07 11:00,-3.4,,,,5.3,,290,,42,,2,-14.5,3.5,,0,0,,
108,서울,2024-01-07 12:00,-2.5,,,,4.7,,270,,44,,2.2,-13.1,3.2,,0,0,,
108,서울,2024-01-07 13:00,-3,,,,6.3,,290,,37,,1.8,-15.6,2.7,,0,0,,
108,서울,2024-01-07 14:00,-2.1,,,,4,,270,,39,,2,-14.2,2.1,,0,0,,
108,서울,2024-01-07 15:00,-1.8,,,,4.5,,250,,37,,2,-14.6,1.9,,0,0,,
108,서울,2024-01-07 16:00,-2,,,,3.3,,270,,37,,2,-14.7,1.8,,0,0,,
108,서울,2024-01-07 17:00,-3.5,,,,3.6,,290,,39,,1.8,-15.4,1.5,,0,0,,
108,서울,2024-01-07 18:00,-4.6,,,,3.3,,270,,44,,1.9,-15,1.5,,0,0,,
108,서울,2024-01-07 19:00,-5.3,,,,3.6,,270,,46,,1.9,-15.1,1.5,,0,0,,
108,서울,2024-01-07 20:00,-5.8,,,,2.8,,290,,52,,2.1,-14.1,1.5,,0,0,,
108,서울,2024-01-07 21:00,-6.7,,,,4.6,,290,,54,,2,-14.4,1.5,,0,0,,
108,서울,2024-01-07 22:00,-7.5,,,,1,,90,,59,,2.1,-14.1,1.5,,0,0,,
108,서울,2024-01-07 23:00,-8.1,,,,2.6,,340,,64,,2.1,-13.7,1.5,,0,0,,
108,서울,2024-01-08 00:00,-8.3,,,,2.9,,320,,64,,2.1,-13.9,1.5,,0,0,,
108,서울,2024-01-08 01:00,-8.5,,,,3.3,,290,,64,,2.1,-14.1,1.5,,0,0,,
108,서울,2024-01-08 02:00,-8.9,,,,2.1,,290,,65,,2,-14.2,1.5,,0,0,,
108,서울,2024-01-08 03:00,-9.1,,,,.7,,290,,64,,2,-14.6,1.5,,0,0,,
108,서울,2024-01-08 04:00,-9.4,,,,1.7,,270,,66,,2,-14.5,1.5,,0,0,,
108,서울,2024-01-08 05:00,-9.7,,,,.5,,20,,67,,2,-14.6,1.5,,0,0,,
108,서울,2024-01-08 06:00,-10.1,,,,2.2,,50,,65,,1.8,-15.4,1.5,,0,0,,
108,서울,2024-01-08 07:00,-10.1,,,,1.7,,50,,67,,1.9,-15,1.5,,0,0,,
108,서울,2024-01-08 08:00,-10.1,,,,1.9,,50,,68,,1.9,-14.8,1.5,,0,0,,
108,서울,2024-01-08 09:00,-9,,,,2.7,,50,,66,,2,-14.2,1.5,,0,0,,
108,서울,2024-01-08 10:00,-6.3,,,,2,,160,,53,,2,-14.3,1.4,,0,0,,
108,서울,2024-01-08 11:00,-3.8,,,,1.3,,160,,48,,2.2,-13.2,1.4,,0,0,,
108,서울,2024-01-08 12:00,-2.3,,,,1.7,,160,,40,,2.1,-14.1,1.2,,0,0,,
108,서울,2024-01-08 13:00,-.8,,,,2.3,,180,,37,,2.1,-13.7,1,,0,0,,
108,서울,2024-01-08 14:00,-.6,,,,1.9,,250,,35,,2,-14.2,.6,,2,0,Ci,
108,서울,2024-01-08 15:00,-.3,,,,2.1,,270,,34,,2,-14.2,.4,,7,0,Ci,
108,서울,2024-01-08 16:00,-.7,,,,2.9,,270,,47,,2.7,-10.6,.3,,7,0,Ci,
108,서울,2024-01-08 17:00,-1.5,,,,1.7,,250,,52,,2.9,-10,.3,,8,0,Ci,
108,서울,2024-01-08 18:00,-2.2,,,,1.4,,270,,61,,3.2,-8.7,.3,,7,0,Ci,
108,서울,2024-01-08 19:00,-2.6,,,,.6,,340,,63,,3.2,-8.6,.3,,8,8,,62
108,서울,2024-01-08 20:00,-3.1,,,,1.3,,50,,66,,3.2,-8.5,.3,,5,5,,10
108,서울,2024-01-08 21:00,-2.9,,,,.7,,70,,68,,3.4,-7.9,.3,,8,8,Sc,11
108,서울,2024-01-08 22:00,-2.1,,,,1.1,,90,,64,,3.3,-8,.3,,1,1,,11
108,서울,2024-01-08 23:00,-2.2,,,,1.7,,20,,65,,3.4,-7.9,.3,,7,7,,8
108,서울,2024-01-09 00:00,-1.9,,,,1.9,,50,,64,,3.4,-7.8,.3,,8,8,,
108,서울,2024-01-09 01:00,-1.8,,,,1.2,,50,,63,,3.4,-7.9,.3,,7,4,,7
108,서울,2024-01-09 02:00,-1.7,,,,1.6,,50,,64,,3.5,-7.6,.3,,8,8,,13
108,서울,2024-01-09 03:00,-1.6,,,,2.1,,50,,63,,3.4,-7.7,.3,,9,9,Sc,14
108,서울,2024-01-09 04:00,-1.5,,,,1.6,,50,,65,,3.6,-7.2,.3,,9,9,Sc,9
108,서울,2024-01-09 05:00,-1.3,,,,1.7,,50,,65,,3.6,-7,.3,,9,9,Sc,8
108,서울,2024-01-09 06:00,-1.1,,0,,2,,50,,66,,3.7,-6.6,.3,,9,9,Sc,8
108,서울,2024-01-09 07:00,-1,,,9,2.3,,50,,71,,4,-5.6,.3,,9,9,Sc,8
108,서울,2024-01-09 08:00,-1.2,,,9,1.9,,50,,74,,4.2,-5.2,.3,,9,9,Sc,8
108,서울,2024-01-09 09:00,-1.5,,.4,,1.6,,50,,86,,4.7,-3.5,.6,.3,10,8,StNs,4
108,서울,2024-01-09 10:00,-1.3,,,9,2.6,,50,,88,,4.9,-3,1,,10,8,StNs,3
108,서울,2024-01-09 11:00,-.7,,,9,2.1,,50,,88,,5.1,-2.4,1.2,,10,8,StNs,3
108,서울,2024-01-09 12:00,-.5,,.2,,2.3,,50,,89,,5.3,-2,1.4,.8,10,7,StNs,3
108,서울,2024-01-09 13:00,-.1,,,9,2.1,,50,,91,,5.6,-1.3,1.8,,10,9,StNs,3
108,서울,2024-01-09 14:00,.1,,,9,1.4,,50,,91,,5.6,-1.1,2.7,,10,9,StNs,3
108,서울,2024-01-09 15:00,.2,,.7,,2,,50,,92,,5.7,-.9,2.8,1.4,10,8,ScAs,6
108,서울,2024-01-09 16:00,.2,,,9,2.1,,50,,92,,5.7,-.9,3,,10,9,StNs,3
108,서울,2024-01-09 17:00,.3,,,9,2.1,,50,,93,,5.8,-.7,3.1,,10,8,ScAs,6
108,서울,2024-01-09 18:00,.2,,.3,,2,,20,,91,,5.6,-1.1,3.1,.3,9,9,Sc,6
108,서울,2024-01-09 19:00,.2,,,9,2,,50,,92,,5.7,-.9,3.1,,9,9,Sc,6
108,서울,2024-01-09 20:00,.1,,,9,1.4,,70,,93,,5.7,-.9,3.1,,10,4,,17
108,서울,2024-01-09 21:00,.1,,0,,1,,360,,92,,5.7,-1,3.1,0,9,9,As,28
108,서울,2024-01-09 22:00,.1,,,9,1,,20,,93,,5.7,-.9,3.1,,10,6,,2
108,서울,2024-01-09 23:00,.4,,,9,2.9,,290,,95,,6,-.3,3,,9,7,,15
108,서울,2024-01-10 00:00,-.3,,,9,2.4,,290,,93,,5.6,-1.2,3,,2,2,,
108,서울,2024-01-10 01:00,-1.1,,,,.9,,290,,92,,5.2,-2.2,3,,0,0,,
108,서울,2024-01-10 02:00,-1.4,,,,2.1,,290,,95,,5.2,-2.1,3,,0,0,,
108,서울,2024-01-10 03:00,-1.9,,,,1.5,,270,,95,,5.1,-2.5,3,,2,2,Sc,8
108,서울,2024-01-10 04:00,-2.4,,,,.9,,290,,94,,4.8,-3.2,3,,0,0,,
108,서울,2024-01-10 05:00,-3.1,,,,.4,,0,,93,,4.5,-4,3,,0,0,,
108,서울,2024-01-10 06:00,-3.6,,,,.1,,0,,93,,4.4,-4.5,3,,0,0,,
108,서울,2024-01-10 07:00,-4.1,,,,1.8,,50,,94,,4.2,-4.9,3,,7,7,Sc,4
108,서울,2024-01-10 08:00,-3.7,,,,1.7,,340,,94,,4.4,-4.5,2.9,,2,2,Sc,4
108,서울,2024-01-10 09:00,-3.7,,,,1.6,,50,,94,,4.4,-4.5,2.9,,8,8,Sc,9
108,서울,2024-01-10 10:00,-2.7,,,,2.3,,50,,94,,4.7,-3.5,2.7,,8,8,Sc,9
108,서울,2024-01-10 11:00,-1.1,,,,2.5,,50,,87,,4.9,-2.9,2.6,,7,7,Sc,10
108,서울,2024-01-10 12:00,0,,,,1.8,,340,,82,,5,-2.7,2.5,,7,7,Sc,10
108,서울,2024-01-10 13:00,1.6,,,,.8,,90,,75,,5.2,-2.3,2.3,,7,7,Sc,9
108,서울,2024-01-10 14:00,1.5,,,,2.3,,270,,75,,5.1,-2.4,2.3,,6,6,Sc,10
108,서울,2024-01-10 15:00,2.9,,,,2.2,,290,,71,,5.4,-1.8,2.2,,0,0,,
108,서울,2024-01-10 16:00,3.1,,,,2.2,,250,,69,,5.3,-2,2,,0,0,,
108,서울,2024-01-10 17:00,1.9,,,,2.5,,250,,72,,5,-2.6,2,,0,0,,
108,서울,2024-01-10 18:00,.7,,,,1.7,,270,,76,,4.9,-3,2,,0,0,,
108,서울,2024-01-10 19:00,.1,,,,1.9,,270,,78,,4.8,-3.2,2,,0,0,,
108,서울,2024-01-10 20:00,-.5,,,,2.3,,270,,84,,5,-2.8,2,,0,0,,
108,서울,2024-01-10 21:00,-1,,,,1.3,,270,,87,,5,-2.8,2,,0,0,,
108,서울,2024-01-10 22:00,-1.4,,,,2.1,,250,,91,,5,-2.6,2,,0,0,,
108,서울,2024-01-10 23:00,-1.4,,,,1.5,,200,,90,,5,-2.8,2,,1,1,,2
108,서울,2024-01-11 00:00,-1.2,,,,1.9,,270,,89,,5,-2.7,2,,8,8,,
108,서울,2024-01-11 01:00,-1.2,,,,1.1,,290,,88,,4.9,-2.9,2,,9,9,,3
108,서울,2024-01-11 02:00,-1.2,,,,2.7,,200,,86,,4.8,-3.2,2,,9,9,,5
108,서울,2024-01-11 03:00,-1.4,,,,2.2,,200,,85,,4.7,-3.6,2,,8,8,Sc,6
108,서울,2024-01-11 04:00,-1.9,,,,1.5,,180,,84,,4.5,-4.2,2,,7,7,Sc,7
108,서울,2024-01-11 05:00,-1.8,,,,1,,200,,85,,4.6,-3.9,2,,8,8,Sc,7
108,서울,2024-01-11 06:00,-2.3,,,,1.6,,250,,86,,4.4,-4.3,2,,6,6,Sc,10
108,서울,2024-01-11 07:00,-2,,,,1.4,,140,,88,,4.6,-3.7,2,,8,8,Sc,10
108,서울,2024-01-11 08:00,-1.7,,,,.6,,140,,86,,4.6,-3.7,2,,8,8,Sc,10
108,서울,2024-01-11 09:00,-1.1,,,,2.3,,50,,86,,4.9,-3.1,2,,8,8,Sc,9
108,서울,2024-01-11 10:00,-.4,,,,2,,50,,83,,4.9,-2.9,2,,8,8,Sc,9
108,서울,2024-01-11 11:00,.6,,,,1.5,,360,,78,,5,-2.8,2,,8,8,Sc,9
108,서울,2024-01-11 12:00,2.2,,,,1.5,,200,,72,,5.2,-2.3,1.9,,8,8,Sc,10
108,서울,2024-01-11 13:00,2.9,,,,2.9,,200,,71,,5.4,-1.8,1,,8,8,Sc,8
108,서울,2024-01-11 14:00,3.3,,,,3.2,,200,,73,,5.7,-1,.9,,8,8,Sc,8
108,서울,2024-01-11 15:00,4,,,,3.1,,200,,71,,5.8,-.7,.4,,8,8,Sc,8
